num,objID,flag,conf,Anomaly Score,RA,Dec,u_b_exp
37682,1237680483026600264,0,0.5804,0.03646811470389366,2.678822,30.193237,21.942241473466236
37683,1237680483028500729,0,0.9477,0.05182011425495148,7.643152,30.244245,23.201480038103213
37684,1237663233914570048,0,0.8951,0.04871158301830292,359.573754,30.653543,21.630619698138073
37685,1237680483563536666,0,0.9408,0.1792946457862854,2.712421,30.646302,22.149204535286387
37686,1237680483564126423,0,0.8598,0.04974093288183212,4.281658,30.66117,21.885751106749144
37687,1237680483565109312,0,0.9397,0.08543260395526886,6.930709,30.654765,16.610641408295155
37688,1237680483565961509,0,0.7246,0.097089022397995,9.184096,30.657862,22.161506027985666
37689,1237680285991960895,0,0.5398,0.20322075486183167,10.153339,30.662709,22.01178966275939
37690,1237680531356516567,0,0.6417,0.07243181765079498,357.999375,30.908114,22.114502939262476
37692,1237680484100407720,0,0.5499,0.02614879608154297,2.669028,31.076287,21.80585452722864
37693,1237680474971570698,0,0.6826,0.0782933384180069,322.032851,25.854359,21.22525235645083
